time;month;temperature;wind;barometer;weather;label
9.5;11;0.631578947368421;0.12;0.8125;2;2
10.0;11;0.631578947368421;0.08;0.8125;2;2
10.5;11;0.631578947368421;0.14;0.8125;2;2
11.0;11;0.7368421052631579;0.18;0.75;2;3
11.5;11;0.7368421052631579;0.22;0.75;3;3
12.0;11;0.7368421052631579;0.14;0.6875;3;3
12.5;11;0.7894736842105263;0.12;0.6875;3;3
13.0;11;0.7368421052631579;0.14;0.625;3;3
13.5;11;0.7368421052631579;0.18;0.625;3;3
14.0;11;0.7368421052631579;0.22;0.625;3;2
14.5;11;0.8421052631578947;0.3;0.5625;2;2
15.0;11;0.7368421052631579;0.12;0.5625;2;2
15.5;11;0.7368421052631579;0.14;0.5625;2;2
16.0;11;0.7368421052631579;0.14;0.5625;2;2
16.5;11;0.7368421052631579;0.14;0.5625;2;2
17.0;11;0.6842105263157895;0.22;0.5625;2;2
17.5;11;0.6842105263157895;0.3;0.625;2;2
18.0;11;0.631578947368421;0.3;0.625;2;2
18.5;11;0.631578947368421;0.26;0.625;2;2
19.0;11;0.631578947368421;0.26;0.6875;2;2
19.5;11;0.5789473684210527;0.12;0.6875;2;2
20.0;11;0.5789473684210527;0.14;0.6875;2;2
20.5;11;0.5263157894736842;0.12;0.75;2;2
21.0;11;0.47368421052631576;0.14;0.75;2;2
21.5;11;0.5263157894736842;0.18;0.75;2;2
22.0;11;0.5263157894736842;0.12;0.6875;2;2
22.5;11;0.5263157894736842;0.12;0.6875;2;2
23.0;11;0.47368421052631576;0.14;0.6875;2;2
23.5;11;0.47368421052631576;0.08;0.6875;2;2
0.0;11;0.47368421052631576;0.12;0.6875;2;2
0.5;11;0.42105263157894735;0.08;0.6875;2;2
1.0;11;0.47368421052631576;0.04;0.6875;2;2
1.5;11;0.42105263157894735;0.0;0.625;2;2
2.0;11;0.3684210526315789;0.0;0.625;2;2
2.5;11;0.3684210526315789;0.0;0.625;2;2
3.0;11;0.3684210526315789;0.0;0.625;2;2
3.5;11;0.3684210526315789;0.0;0.625;2;2
4.0;11;0.42105263157894735;0.04;0.625;2;2
4.5;11;0.42105263157894735;0.08;0.625;2;2
5.0;11;0.42105263157894735;0.08;0.6875;2;2
5.5;11;0.42105263157894735;0.12;0.6875;2;2
6.0;11;0.3684210526315789;0.08;0.6875;2;2
6.5;11;0.42105263157894735;0.12;0.75;2;2
7.0;11;0.47368421052631576;0.12;0.75;2;2
7.5;11;0.47368421052631576;0.08;0.75;2;2
8.0;11;0.5789473684210527;0.08;0.75;2;2
8.5;11;0.631578947368421;0.12;0.8125;2;2
9.0;11;0.631578947368421;0.14;0.8125;2;2
9.5;11;0.6842105263157895;0.08;0.8125;2;2
10.0;11;0.6842105263157895;0.04;0.75;2;2
10.5;11;0.6842105263157895;0.12;0.75;2;3
11.0;11;0.7368421052631579;0.12;0.6875;3;3
11.5;11;0.7894736842105263;0.04;0.6875;3;3
12.0;11;0.7368421052631579;0.08;0.6875;3;3
12.5;11;0.7894736842105263;0.12;0.625;3;3
13.0;11;0.7368421052631579;0.12;0.625;3;3
13.5;11;0.7894736842105263;0.12;0.5625;3;3
14.0;11;0.7894736842105263;0.08;0.5625;3;3
14.5;11;0.7894736842105263;0.04;0.5625;3;3
15.0;11;0.7894736842105263;0.08;0.5625;3;3
15.5;11;0.7894736842105263;0.22;0.5625;3;3
16.0;11;0.7894736842105263;0.22;0.5625;3;2
16.5;11;0.7368421052631579;0.14;0.5625;2;2
17.0;11;0.6842105263157895;0.3;0.5625;2;2
17.5;11;0.631578947368421;0.18;0.625;2;2
18.0;11;0.631578947368421;0.14;0.625;2;2
18.5;11;0.5789473684210527;0.12;0.625;2;2
19.0;11;0.5789473684210527;0.22;0.6875;2;2
19.5;11;0.5789473684210527;0.14;0.6875;2;2
20.0;11;0.5789473684210527;0.14;0.6875;2;2
20.5;11;0.5789473684210527;0.04;0.75;2;2
21.0;11;0.5263157894736842;0.04;0.75;2;2
21.5;11;0.5263157894736842;0.04;0.75;2;2
22.0;11;0.5263157894736842;0.08;0.6875;2;2
22.5;11;0.5263157894736842;0.08;0.6875;2;2
23.0;11;0.47368421052631576;0.14;0.6875;2;2
23.5;11;0.47368421052631576;0.14;0.6875;2;2
0.0;12;0.47368421052631576;0.18;0.6875;2;2
0.5;12;0.47368421052631576;0.12;0.6875;2;2
1.0;12;0.47368421052631576;0.08;0.625;2;2
1.5;12;0.47368421052631576;0.08;0.625;2;2
2.5;12;0.47368421052631576;0.12;0.625;2;2
3.0;12;0.42105263157894735;0.08;0.5625;2;2
3.5;12;0.42105263157894735;0.08;0.5625;2;2
4.0;12;0.42105263157894735;0.04;0.5625;2;2
4.5;12;0.42105263157894735;0.04;0.5625;2;2
5.0;12;0.42105263157894735;0.12;0.625;2;2
5.5;12;0.3684210526315789;0.04;0.625;2;4
6.0;12;0.3684210526315789;0.08;0.625;4;2
6.5;12;0.42105263157894735;0.08;0.625;2;2
7.0;12;0.47368421052631576;0.08;0.6875;2;2
7.5;12;0.5263157894736842;0.14;0.6875;2;2
8.0;12;0.5789473684210527;0.12;0.6875;2;2
8.5;12;0.631578947368421;0.14;0.6875;2;2
9.0;12;0.631578947368421;0.12;0.6875;2;2
9.5;12;0.6842105263157895;0.12;0.6875;2;2
10.0;12;0.7368421052631579;0.12;0.6875;2;2
10.5;12;0.7368421052631579;0.14;0.625;2;2
11.0;12;0.7368421052631579;0.12;0.625;2;2
11.5;12;0.7368421052631579;0.18;0.5625;2;2
12.0;12;0.8421052631578947;0.18;0.5625;2;2
12.5;12;0.7894736842105263;0.22;0.5;2;3
13.0;12;0.7894736842105263;0.18;0.5;3;3
13.5;12;0.8421052631578947;0.12;0.4375;3;3
14.0;12;0.7894736842105263;0.22;0.4375;3;3
14.5;12;0.8421052631578947;0.18;0.375;3;3
15.0;12;0.7894736842105263;0.18;0.375;3;2
15.5;12;0.8421052631578947;0.3;0.375;2;2
16.0;12;0.7894736842105263;0.26;0.375;2;2
16.5;12;0.7368421052631579;0.22;0.4375;2;2
17.0;12;0.7368421052631579;0.22;0.4375;2;2
17.5;12;0.6842105263157895;0.26;0.4375;2;2
18.0;12;0.631578947368421;0.34;0.5;2;2
18.5;12;0.631578947368421;0.3;0.5;2;2
